%2A.aln.sam	%2A	sebastes_spp
CF190719-02-02_S293_L001_R1_001.fastq.gz.aln.sam	CF190719-02-02_S293_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-07_S294_L001_R1_001.fastq.gz.aln.sam	CF190719-02-07_S294_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-11_S295_L001_R1_001.fastq.gz.aln.sam	CF190719-02-11_S295_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-13_S296_L001_R1_001.fastq.gz.aln.sam	CF190719-02-13_S296_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-16_S297_L001_R1_001.fastq.gz.aln.sam	CF190719-02-16_S297_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-19_S298_L001_R1_001.fastq.gz.aln.sam	CF190719-02-19_S298_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-22_S299_L001_R1_001.fastq.gz.aln.sam	CF190719-02-22_S299_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-25_S300_L001_R1_001.fastq.gz.aln.sam	CF190719-02-25_S300_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-28_S301_L001_R1_001.fastq.gz.aln.sam	CF190719-02-28_S301_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-31_S302_L001_R1_001.fastq.gz.aln.sam	CF190719-02-31_S302_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-35_S303_L001_R1_001.fastq.gz.aln.sam	CF190719-02-35_S303_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-38_S304_L001_R1_001.fastq.gz.aln.sam	CF190719-02-38_S304_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-41_S305_L001_R1_001.fastq.gz.aln.sam	CF190719-02-41_S305_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-44_S306_L001_R1_001.fastq.gz.aln.sam	CF190719-02-44_S306_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-49_S307_L001_R1_001.fastq.gz.aln.sam	CF190719-02-49_S307_L001_R1_001.fastq.gz	sebastes_spp
CF190719-02-54_S308_L001_R1_001.fastq.gz.aln.sam	CF190719-02-54_S308_L001_R1_001.fastq.gz	sebastes_spp
CF190719-04-05_S309_L001_R1_001.fastq.gz.aln.sam	CF190719-04-05_S309_L001_R1_001.fastq.gz	sebastes_spp
CF190719-04-18_S312_L001_R1_001.fastq.gz.aln.sam	CF190719-04-18_S312_L001_R1_001.fastq.gz	sebastes_spp
CF190816-01-03_S335_L001_R1_001.fastq.gz.aln.sam	CF190816-01-03_S335_L001_R1_001.fastq.gz	sebastes_spp
EMPTY_S89_L001_R1_001.fastq.gz.aln.sam	EMPTY_S89_L001_R1_001.fastq.gz	sebastes_spp
HH140701-01-11_S62_L001_R1_001.fastq.gz.aln.sam	HH140701-01-11_S62_L001_R1_001.fastq.gz	sebastes_spp
HH140701-02-06_S63_L001_R1_001.fastq.gz.aln.sam	HH140701-02-06_S63_L001_R1_001.fastq.gz	sebastes_spp
HH140701-02-12_S70_L001_R1_001.fastq.gz.aln.sam	HH140701-02-12_S70_L001_R1_001.fastq.gz	sebastes_spp
HH140701-02-13_S64_L001_R1_001.fastq.gz.aln.sam	HH140701-02-13_S64_L001_R1_001.fastq.gz	sebastes_spp
HH140701-02-17_S65_L001_R1_001.fastq.gz.aln.sam	HH140701-02-17_S65_L001_R1_001.fastq.gz	sebastes_spp
HH140701-02-19_S66_L001_R1_001.fastq.gz.aln.sam	HH140701-02-19_S66_L001_R1_001.fastq.gz	sebastes_spp
HH140701-03-07_S67_L001_R1_001.fastq.gz.aln.sam	HH140701-03-07_S67_L001_R1_001.fastq.gz	sebastes_spp
HH140701-03-17_S68_L001_R1_001.fastq.gz.aln.sam	HH140701-03-17_S68_L001_R1_001.fastq.gz	sebastes_spp
HH140701-04-09_S69_L001_R1_001.fastq.gz.aln.sam	HH140701-04-09_S69_L001_R1_001.fastq.gz	sebastes_spp
HH160705-01-03_S367_L001_R1_001.fastq.gz.aln.sam	HH160705-01-03_S367_L001_R1_001.fastq.gz	sebastes_spp
HH160823-01-1_S157_L001_R1_001.fastq.gz.aln.sam	HH160823-01-1_S157_L001_R1_001.fastq.gz	sebastes_spp
HH160823-03-2_S158_L001_R1_001.fastq.gz.aln.sam	HH160823-03-2_S158_L001_R1_001.fastq.gz	sebastes_spp
HH160823-04-1_S159_L001_R1_001.fastq.gz.aln.sam	HH160823-04-1_S159_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-100_S173_L001_R1_001.fastq.gz.aln.sam	HH160915-01-100_S173_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-102_S174_L001_R1_001.fastq.gz.aln.sam	HH160915-01-102_S174_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-105_S175_L001_R1_001.fastq.gz.aln.sam	HH160915-01-105_S175_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-108_S176_L001_R1_001.fastq.gz.aln.sam	HH160915-01-108_S176_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-112_S177_L001_R1_001.fastq.gz.aln.sam	HH160915-01-112_S177_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-116_S178_L001_R1_001.fastq.gz.aln.sam	HH160915-01-116_S178_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-82_S167_L001_R1_001.fastq.gz.aln.sam	HH160915-01-82_S167_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-86_S168_L001_R1_001.fastq.gz.aln.sam	HH160915-01-86_S168_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-89_S169_L001_R1_001.fastq.gz.aln.sam	HH160915-01-89_S169_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-92_S170_L001_R1_001.fastq.gz.aln.sam	HH160915-01-92_S170_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-95_S171_L001_R1_001.fastq.gz.aln.sam	HH160915-01-95_S171_L001_R1_001.fastq.gz	sebastes_spp
HH160915-01-99_S172_L001_R1_001.fastq.gz.aln.sam	HH160915-01-99_S172_L001_R1_001.fastq.gz	sebastes_spp
HH160915-02-32_S179_L001_R1_001.fastq.gz.aln.sam	HH160915-02-32_S179_L001_R1_001.fastq.gz	sebastes_spp
HH160915-02-35_S180_L001_R1_001.fastq.gz.aln.sam	HH160915-02-35_S180_L001_R1_001.fastq.gz	sebastes_spp
